,0
fp_0141,0.11629904428195681
fp_0513,0.04974128118743164
fp_0535,0.03780762320006286
fp_0017,0.03749321142572803
fp_0723,0.03716007504571014
fp_0071,0.03713758166801564
fp_0777,0.03126629748151468
fp_0518,0.02656529939893927
fp_0876,0.02369658616422322
fp_0673,0.022973664847769207
fp_0997,0.021722000808481724
fp_0688,0.019393949562948848
fp_0761,0.01502431187977057
fp_0064,0.014894828154892513
fp_0363,0.01253309837135357
fp_0799,0.011884043031602932
fp_0329,0.01188054339140157
fp_0691,0.011356017326229087
fp_0065,0.00975108679543677
fp_0059,0.009213414760316568
fp_0157,0.009080215652336349
fp_0227,0.008857409534751925
fp_0767,0.008521188380605293
fp_0093,0.00829708186137209
fp_0223,0.008184566371581317
fp_0242,0.008138024356640496
fp_0126,0.007733734173456532
fp_0925,0.007014544235999588
fp_0666,0.006929162586690466
fp_0998,0.006817654891158883
fp_0155,0.006583730094475187
fp_0769,0.0065132620460632866
fp_0175,0.006077173345437703
fp_0582,0.005789864572492499
fp_0994,0.005729109472210939
fp_0194,0.005224742586272425
fp_0263,0.004986033799676081
fp_0792,0.004813189653977936
fp_0939,0.004792634057293718
fp_0235,0.004580759104547156
fp_0414,0.004572963953756913
fp_0423,0.004353110389569813
fp_0726,0.004237514808413596
fp_0378,0.004056005836522459
fp_0443,0.0039509552408814085
fp_0079,0.003839218683545364
fp_0600,0.0036944222858522656
fp_0032,0.0036174011661018646
fp_0204,0.0035057852774502325
fp_0122,0.003209721161082443
fp_0963,0.003161631564356799
fp_0271,0.0031574967646403112
fp_0259,0.003057232213217397
fp_0654,0.0028347992927384024
fp_0240,0.0026869289847094246
fp_0048,0.0026258678161801313
fp_0469,0.0026224319350856167
fp_0110,0.002546087887529128
fp_0788,0.002489153767454144
fp_0628,0.002379334637145797
fp_0015,0.002319685380674535
fp_0185,0.0022522153404347335
fp_0667,0.0021088652354297973
fp_0611,0.0020886903149323847
fp_0642,0.0020406161923731477
fp_0771,0.002030972411356509
fp_0284,0.002029640573649686
fp_0696,0.0020105764607284294
fp_0539,0.0019548736788273105
fp_0501,0.0019251656954835245
fp_0945,0.0018738442194515131
fp_0522,0.001769065302034236
fp_0538,0.0017527952213216074
fp_0974,0.0017187963032432683
fp_0774,0.0016414571798658512
fp_0725,0.0016363620508427859
fp_1015,0.0015634148662448694
fp_0511,0.0015492218534565027
fp_0613,0.0015363995532344807
fp_0395,0.0014771407033518451
fp_0402,0.001454670416219993
fp_0830,0.0014539772386770633
fp_0912,0.0014322651401619472
fp_0009,0.0014303464408907862
fp_0976,0.001413692155905759
fp_0254,0.0014110483090822201
fp_0721,0.0014016838852561537
fp_0623,0.0013826681860164272
fp_0280,0.0012866059821398227
fp_1017,0.001281727232252308
fp_0067,0.0012313783107680005
fp_0062,0.0011916919086627925
fp_0597,0.001185232719024817
fp_0218,0.0011773419092983913
fp_0450,0.0011386851177211008
fp_0617,0.001138270815944555
fp_0087,0.0011108322482645417
fp_0322,0.0011039671487495103
fp_0989,0.0010830630561272146
fp_0208,0.001081086876139252
fp_0409,0.0010660117817814
fp_0612,0.0010334755131613537
fp_0864,0.0010188276092042636
fp_0430,0.0010062738321970194
fp_0377,0.0009929412975438852
fp_0339,0.0009886768439822432
fp_0269,0.0009685896372440913
fp_0449,0.0009598310378925664
fp_0639,0.0009167114659458432
fp_0964,0.0009107584532853613
fp_0661,0.0008988414998429313
fp_0131,0.0008883811991630221
fp_0495,0.0008865137930886305
fp_0050,0.0008843872620956626
fp_0143,0.0008652339626540231
fp_0609,0.0008134588331341088
fp_1001,0.0008084301026632687
fp_0333,0.0008027479884619496
fp_1019,0.0007864029270626263
fp_0932,0.0007615074593337273
fp_0497,0.0007363894502934245
fp_0619,0.0007243503286134044
fp_0160,0.0007106689578766272
fp_0740,0.0007063759232242678
fp_0760,0.0006658821432457627
fp_0455,0.0006600145068271907
fp_0019,0.0006552378647891877
fp_0245,0.0006470278667034434
fp_0951,0.0006332641990609032
fp_0005,0.0006222711838566708
fp_0530,0.0005817448945216393
fp_0953,0.0005745145840772358
fp_0624,0.0005736062842494724
fp_0738,0.0005731134375681337
fp_1006,0.0005648514734596825
fp_0183,0.000546492949687805
fp_0629,0.000535378867685775
fp_0902,0.0005118600767849296
fp_0823,0.0005090510272344589
fp_0393,0.0005087040315645135
fp_0975,0.0004955924751481145
fp_0794,0.0004953193863828642
fp_0341,0.0004950134087705816
fp_0179,0.0004902648660814026
fp_0954,0.0004837870883658317
fp_0676,0.0004829287269961446
fp_0486,0.0004759689182309382
fp_0460,0.00046010718629299076
fp_0655,0.0004586688893470705
fp_0789,0.00045135419412122436
fp_0352,0.00044992789336405025
fp_0468,0.00044751283841626616
fp_0670,0.00043467836910630094
fp_0542,0.0004313874346559608
fp_0287,0.00042827778800565223
fp_0637,0.00042329548352197584
fp_0139,0.0004225429069340443
fp_0274,0.0004102848979434933
fp_0142,0.00040929857459840987
fp_0550,0.0004081871198752385
fp_0294,0.0004074558816186035
fp_0462,0.00040652639269726467
fp_0029,0.0004039426236868504
fp_0587,0.0004018401210149451
fp_0247,0.00039968308833021425
fp_0692,0.00039684153093577813
fp_1012,0.000394955431243544
fp_0791,0.0003892084777155798
fp_0845,0.0003875084407721895
fp_0463,0.00038579109984595585
fp_0490,0.00038556539388129275
fp_0969,0.0003840006446363777
fp_1018,0.0003833072966072765
fp_0741,0.00036492378492080827
fp_0970,0.0003580995015628042
fp_0938,0.0003576178576781156
fp_0475,0.0003540459017812735
fp_0634,0.00035311678599288005
fp_0285,0.000346496428357841
fp_0913,0.0003407119205925861
fp_0556,0.00033906499432719575
fp_0836,0.00033697355550096723
fp_0596,0.00033538332604840293
fp_0220,0.0003341961359158305
fp_0436,0.0003332328670507358
fp_0326,0.00033230338718174103
fp_0694,0.0003167341583307208
fp_0138,0.0003093173703166345
fp_0293,0.0003020250391959902
fp_0732,0.00029810238849591156
fp_0739,0.00029610562392701754
fp_0929,0.0002938666348104439
fp_0620,0.00027649369237105507
fp_1009,0.00027400565686201234
fp_0418,0.00026922770099733746
fp_0700,0.0002682009039204909
fp_0286,0.0002645248592390849
fp_0034,0.0002630631329384107
fp_0553,0.0002628898318646027
fp_0446,0.0002587382239420525
fp_0049,0.0002574626319282238
fp_0114,0.00025438106206933484
fp_0749,0.00025118759059008437
fp_0650,0.00024694856524945627
fp_0857,0.0002461200494663751
fp_0251,0.0002446937438347209
fp_0230,0.00023930664966628776
fp_0433,0.00023839620385439944
fp_0406,0.00023713793064832414
fp_0730,0.00023281432554466956
fp_0327,0.00023068321097400349
fp_0657,0.00022957229681662043
fp_0405,0.00022553353942174513
fp_0425,0.00021747570363691085
fp_0806,0.00021622496298271153
fp_0411,0.00021160983950909662
fp_0384,0.0002096917818235574
fp_0140,0.0002084914731901212
fp_0006,0.00020713590079069594
fp_0743,0.00020554310672468343
fp_1014,0.00020183299401564547
fp_1007,0.0001966595765348476
fp_0258,0.00019390753271606397
fp_0261,0.00018894372952286652
fp_0593,0.00018225358965626208
fp_0170,0.00018224240488984197
fp_0470,0.00017933105883214892
fp_0178,0.00017836424586580908
fp_0972,0.0001775802106695136
fp_0342,0.0001748328645534136
fp_0837,0.00017185722921148554
fp_0652,0.00016840956720607313
fp_0066,0.00016594361636995407
fp_0507,0.00016545274792350851
fp_0724,0.00016091983256846137
fp_1016,0.00016011575810377852
fp_0102,0.00015894687058557052
fp_0814,0.00015756138960866482
fp_1021,0.00015659670400996892
fp_0275,0.00014876069704744736
fp_0074,0.0001463661242925154
fp_0630,0.000145349241125552
fp_0648,0.0001431209364482715
fp_0712,0.00013950061012425502
fp_0211,0.00013837265751734173
fp_0583,0.00013833272973262506
fp_0886,0.00013519810119938628
fp_0840,0.00012911354953264536
fp_0256,0.00012844546659001568
fp_0281,0.00012786673657815253
fp_0888,0.0001270352028719943
fp_0036,0.00012431212012406815
fp_0144,0.00012319388674671247
fp_0811,0.00012177818484499398
fp_0966,0.00011823737495485895
fp_0719,0.00011686761133612408
fp_0598,0.00011467589034961266
fp_0388,0.00011294114577584329
fp_0063,0.00011115739644024583
fp_1003,0.00010996662431157033
fp_0249,0.00010922088290292108
fp_0831,0.00010888217508505077
fp_0880,0.00010650277761907642
fp_0922,0.00010590842873181714
fp_0348,0.00010551407851677196
fp_0370,0.00010404809660735154
fp_0336,0.00010189892038776389
fp_0614,0.00010088701404532905
fp_0751,9.959648020141619e-05
fp_0426,9.596878687224385e-05
fp_0075,9.454515604783078e-05
fp_0435,9.374955818896087e-05
fp_0181,9.356546737959496e-05
fp_0956,9.219018132527108e-05
fp_0159,9.212935204977374e-05
fp_0627,9.177432675667581e-05
fp_0679,9.066635796008614e-05
fp_0722,8.933291249637369e-05
fp_0948,8.657105198177965e-05
fp_0207,8.518880759303089e-05
fp_0999,8.39620998958439e-05
fp_0909,8.374380505715023e-05
fp_0191,8.354735830504955e-05
fp_0572,8.343236586871766e-05
fp_0361,8.160549280925383e-05
fp_0838,8.089142375834307e-05
fp_0992,8.062284999861525e-05
fp_0920,8.034802703663404e-05
fp_0410,7.97407367346125e-05
fp_0335,7.854167366675157e-05
fp_0504,7.666160402453711e-05
fp_0209,7.649860505735269e-05
fp_0795,7.588426135226381e-05
fp_0216,7.538142373662335e-05
fp_0594,7.53086813967653e-05
fp_0924,7.525044453393635e-05
fp_0385,7.503130786030627e-05
fp_0376,7.478585739397648e-05
fp_0862,7.372425502126404e-05
fp_1013,7.335748949806399e-05
fp_0084,6.736444319639552e-05
fp_0082,6.733239805892821e-05
fp_0104,6.676849837288861e-05
fp_0921,6.653272400657108e-05
fp_0109,6.61348055559038e-05
fp_0633,6.552573205790931e-05
fp_0198,6.503124728246628e-05
fp_0768,6.498781125604602e-05
fp_0154,6.43220434358461e-05
fp_0367,6.386133855944932e-05
fp_0871,6.16849914736277e-05
fp_0438,6.125069276337202e-05
fp_0892,6.091637274523565e-05
fp_0519,6.074031856875964e-05
fp_0879,6.054531366918659e-05
fp_0763,5.8657049623235064e-05
fp_0337,5.425110757310226e-05
fp_0389,5.421780636397009e-05
fp_0346,5.381578022962192e-05
fp_0127,5.2770388666403774e-05
fp_0266,5.206805020853232e-05
fp_0606,5.151825854145421e-05
fp_0775,4.847812487052884e-05
fp_0683,4.6446050773146737e-05
fp_0400,4.6143804376578435e-05
fp_0359,4.563452688996873e-05
fp_0842,4.472845683296206e-05
fp_0305,4.3411687014461266e-05
fp_0145,4.298415516237326e-05
fp_0660,4.2311694062231504e-05
fp_0784,4.1944786172403304e-05
fp_0365,4.1645789669651905e-05
fp_0984,4.013369110987341e-05
fp_0316,3.989247879389538e-05
fp_0295,3.847722467106934e-05
fp_0172,3.833466629490433e-05
fp_0156,3.756812559249307e-05
fp_0796,3.746944241634744e-05
fp_0848,3.725101500493642e-05
fp_0727,3.697531812975925e-05
fp_0136,3.687938010052951e-05
fp_0706,3.621920711199337e-05
fp_0960,3.580868049040461e-05
fp_0807,3.523587943422467e-05
fp_0022,3.505091132468429e-05
fp_0472,3.4784902967907285e-05
fp_0396,3.4330448691722935e-05
fp_0224,3.4251615320168375e-05
fp_0113,3.418263202689011e-05
fp_0835,3.158470908699415e-05
fp_0380,3.1377538574340935e-05
fp_0051,3.0897165155506125e-05
fp_0225,3.078928603117853e-05
fp_0323,3.078343393850479e-05
fp_0489,3.0143275589814616e-05
fp_0557,2.9856671287533647e-05
fp_0653,2.9539452996365282e-05
fp_0273,2.7664065033551936e-05
fp_0790,2.7258925460226288e-05
fp_0162,2.6899772975335772e-05
fp_0012,2.6630792374619058e-05
fp_0762,2.6461018775379813e-05
fp_0941,2.645270128650653e-05
fp_0595,2.5587226900836506e-05
fp_0203,2.5119714118710205e-05
fp_0875,2.5002478668498273e-05
fp_0635,2.429613823199484e-05
fp_0491,2.392973292884564e-05
fp_0764,2.3837601426974163e-05
fp_0646,2.363418194197873e-05
fp_0431,2.323232300770197e-05
fp_0540,2.0971765058097918e-05
fp_0952,2.0834762769662463e-05
fp_0678,2.0721890857049618e-05
fp_0163,2.0555315063155302e-05
fp_0239,2.0269333189164364e-05
fp_0444,1.946370097971841e-05
fp_0189,1.9226715351113698e-05
fp_0016,1.9185961015128915e-05
fp_0524,1.9137164546730967e-05
fp_0202,1.8698774724637286e-05
fp_0813,1.8174368516284202e-05
fp_0477,1.762716471825312e-05
fp_0340,1.7486254695920948e-05
fp_0517,1.68609481411824e-05
fp_0529,1.6844791549954976e-05
fp_0403,1.658383053119652e-05
fp_0132,1.6565804972241606e-05
fp_0195,1.648680722579519e-05
fp_0479,1.6226966228907435e-05
fp_0103,1.4833015989714873e-05
fp_0745,1.4643240321551491e-05
fp_0878,1.4391671890351866e-05
fp_0228,1.4294163585210903e-05
fp_0417,1.3694125237413869e-05
fp_0290,1.2856192067882485e-05
fp_0985,1.2799171579790703e-05
fp_0923,1.2555936269928216e-05
fp_0607,1.2491174009755743e-05
fp_0107,1.094878714566476e-05
fp_0053,1.0744053223996358e-05
fp_0841,1.0482921222590037e-05
fp_0699,1.0164110974887862e-05
fp_1000,1.0052144142444897e-05
fp_0272,9.938480076594831e-06
fp_0250,9.689560087311164e-06
fp_0686,9.678542639284116e-06
fp_0325,9.324326186646408e-06
fp_0252,9.319162401379947e-06
fp_0039,9.266521616842324e-06
fp_0527,9.087038090148162e-06
fp_0512,8.768344090531756e-06
fp_0096,8.569004923601009e-06
fp_0484,8.521078586866554e-06
fp_0737,7.5390658014960906e-06
fp_0798,7.216379051538371e-06
fp_0521,7.1194230731247046e-06
fp_0663,7.091754661237449e-06
fp_0897,6.6768114971755305e-06
fp_0184,6.10915248128504e-06
fp_0289,6.012651997412105e-06
fp_0601,5.9363874800399875e-06
fp_0502,5.727513704281973e-06
fp_0397,5.546644260515021e-06
fp_0091,5.50273588884052e-06
fp_0866,5.469861878840841e-06
fp_0148,5.415806499797488e-06
fp_0038,5.255826425720808e-06
fp_0958,4.955694877395175e-06
fp_0030,4.834219864577333e-06
fp_1008,4.6339868191021985e-06
fp_0151,4.428803289727807e-06
fp_0372,3.868642507369955e-06
fp_0060,3.335572559321941e-06
fp_0192,3.0405605643101507e-06
fp_0995,2.971345455896291e-06
fp_0752,2.840870127638678e-06
fp_0147,2.7973072819918454e-06
fp_0625,2.5224693893877537e-06
fp_0108,2.3828404866182917e-06
fp_0877,2.1690879947498126e-06
fp_0374,1.4944754197337924e-06
fp_0401,1.4853089467559047e-06
fp_0121,1.36964197243433e-06
fp_0574,1.3386643644646972e-06
fp_0675,1.2084832455658854e-06
fp_0057,1.195084010826688e-06
fp_0190,1.087869109252189e-06
fp_0152,8.281417212913314e-07
fp_0413,7.485071662317766e-07
fp_0092,4.740218340319839e-07
fp_0669,4.4133049802032863e-07
fp_0304,3.9191436916576343e-07
fp_0174,3.8549181866729417e-07
fp_0575,2.986901765267465e-07
fp_0906,2.2035986042855374e-07
fp_0292,1.6342532998990848e-07
fp_0422,1.617740210526874e-07
fp_0957,1.0826686328343226e-07
fp_0448,8.25014729690523e-08
fp_0047,6.649038606609667e-08
fp_0754,5.281247973175268e-08
fp_0347,3.298710083922924e-08
fp_0893,2.8647869700064864e-08
fp_0547,2.8046189235908694e-08
fp_0510,1.3673216541377016e-08
fp_0345,9.609343431267208e-09
fp_0313,3.517566532709652e-09
fp_0458,1.2282034483779948e-09
fp_0124,0.0
fp_0123,0.0
fp_0710,0.0
fp_0781,0.0
fp_0802,0.0
fp_0801,0.0
fp_0800,0.0
fp_0797,0.0
fp_0711,0.0
fp_0713,0.0
fp_0793,0.0
fp_0808,0.0
fp_0810,0.0
fp_0809,0.0
fp_0714,0.0
fp_0805,0.0
fp_0804,0.0
fp_0803,0.0
fp_0697,0.0
fp_0125,0.0
fp_0698,0.0
fp_0812,0.0
fp_0720,0.0
fp_0718,0.0
fp_0717,0.0
fp_0695,0.0
fp_0716,0.0
fp_0715,0.0
fp_0782,0.0
fp_0677,0.0
fp_0098,0.0
fp_0097,0.0
fp_0735,0.0
fp_0734,0.0
fp_0733,0.0
fp_0765,0.0
fp_0729,0.0
fp_0680,0.0
fp_0681,0.0
fp_0106,0.0
fp_0682,0.0
fp_0105,0.0
fp_0111,0.0
fp_0112,0.0
fp_0101,0.0
fp_0100,0.0
fp_0099,0.0
fp_0115,0.0
fp_0117,0.0
fp_0116,0.0
fp_0731,0.0
fp_0120,0.0
fp_0119,0.0
fp_0118,0.0
fp_0748,0.0
fp_0747,0.0
fp_0746,0.0
fp_0701,0.0
fp_0702,0.0
fp_0744,0.0
fp_0742,0.0
fp_0736,0.0
fp_0703,0.0
fp_0757,0.0
fp_0693,0.0
fp_0756,0.0
fp_0755,0.0
fp_0705,0.0
fp_0684,0.0
fp_0753,0.0
fp_0750,0.0
fp_0766,0.0
fp_0685,0.0
fp_0687,0.0
fp_0759,0.0
fp_0758,0.0
fp_0728,0.0
fp_0689,0.0
fp_0690,0.0
fp_0704,0.0
fp_0915,0.0
fp_0916,0.0
fp_0898,0.0
fp_0899,0.0
fp_0900,0.0
fp_0901,0.0
fp_0903,0.0
fp_0904,0.0
fp_0088,0.0
fp_0983,0.0
fp_0986,0.0
fp_0987,0.0
fp_0988,0.0
fp_0990,0.0
fp_0014,0.0
fp_0971,0.0
fp_0973,0.0
fp_0977,0.0
fp_0905,0.0
fp_0867,0.0
fp_0868,0.0
fp_0869,0.0
fp_0870,0.0
fp_0926,0.0
fp_0927,0.0
fp_0928,0.0
fp_0930,0.0
fp_0931,0.0
fp_0914,0.0
fp_0934,0.0
fp_0935,0.0
fp_0917,0.0
fp_0918,0.0
fp_0919,0.0
fp_0907,0.0
fp_0908,0.0
fp_0910,0.0
fp_0911,0.0
fp_0933,0.0
fp_0283,0.0
fp_0288,0.0
fp_0018,0.0
fp_0265,0.0
fp_0267,0.0
fp_0268,0.0
fp_0270,0.0
fp_0276,0.0
fp_1020,0.0
fp_0978,0.0
fp_1023,0.0
fp_0257,0.0
fp_0260,0.0
fp_0262,0.0
fp_0264,0.0
fp_1002,0.0
fp_1004,0.0
fp_1005,0.0
fp_1010,0.0
fp_1022,0.0
fp_0979,0.0
fp_0980,0.0
fp_0981,0.0
fp_0982,0.0
fp_0061,0.0
fp_0961,0.0
fp_0962,0.0
fp_0965,0.0
fp_0967,0.0
fp_0282,0.0
fp_0052,0.0
fp_0054,0.0
fp_0055,0.0
fp_0056,0.0
fp_0058,0.0
fp_0020,0.0
fp_0277,0.0
fp_0278,0.0
fp_0279,0.0
fp_0968,0.0
fp_0834,0.0
fp_0839,0.0
fp_0822,0.0
fp_0824,0.0
fp_0825,0.0
fp_0826,0.0
fp_0827,0.0
fp_0828,0.0
fp_0829,0.0
fp_0865,0.0
fp_0816,0.0
fp_0817,0.0
fp_0818,0.0
fp_0819,0.0
fp_0820,0.0
fp_0821,0.0
fp_0085,0.0
fp_0086,0.0
fp_0709,0.0
fp_0815,0.0
fp_0783,0.0
fp_0785,0.0
fp_0786,0.0
fp_0787,0.0
fp_0770,0.0
fp_0772,0.0
fp_0773,0.0
fp_0776,0.0
fp_0778,0.0
fp_0833,0.0
fp_0780,0.0
fp_0843,0.0
fp_0844,0.0
fp_0846,0.0
fp_0847,0.0
fp_0849,0.0
fp_0850,0.0
fp_0851,0.0
fp_0832,0.0
fp_0779,0.0
fp_0859,0.0
fp_0860,0.0
fp_0890,0.0
fp_0891,0.0
fp_0894,0.0
fp_0895,0.0
fp_0896,0.0
fp_0881,0.0
fp_0882,0.0
fp_0089,0.0
fp_0884,0.0
fp_0885,0.0
fp_0887,0.0
fp_0889,0.0
fp_0872,0.0
fp_0873,0.0
fp_0874,0.0
fp_0094,0.0
fp_0095,0.0
fp_0883,0.0
fp_0090,0.0
fp_0076,0.0
fp_0077,0.0
fp_0078,0.0
