master_cpd_id,r2,cpd_name
687954,0.5336411550680393,dabrafenib
347775,0.5166268520747732,decitabine
60225,0.49729038053295815,belinostat
277354,0.494146527125479,dexamethasone
44580,0.4014387471997103,topotecan
27871,0.3841077422031117,teniposide
61097,0.3700364041778725,apicidin
632243,0.3506303524032595,narciclasine
660391,0.34884480526670636,nelarabine
417416,0.34569780418896584,tipifarnib-P2
601923,0.34167508862888724,barasertib
376307,0.33173332765577296,BRD-K80183349
411874,0.3312030765521056,indisulam
636711,0.32850693114256185,alisertib
375637,0.3277538206621638,SN-38
50131,0.3234275614651822,PRIMA-1
660413,0.31491947155719024,KW-2449
607696,0.30851968843171607,LRRK2-IN-1
48589,0.3081208629180546,etoposide
56554,0.2918032225789822,vorinostat
375219,0.29164398906140354,omacetaxine mepesuccinate
50732,0.2893609107345433,mitomycin
609124,0.28581135543799724,PX-12
411805,0.2831600965471476,Compound 7d-cis
347813,0.2724305966653217,BI-2536
32622,0.27098738876489364,dacarbazine
36599,0.2706894218718334,doxorubicin
54210,0.26905765702616025,LBH-589
660202,0.26837565101391103,PYR-41
609060,0.26604682811885727,"1S,3R-RSL-3"
660935,0.25499936290372893,KPT185
628603,0.2540802058600515,crizotinib
25334,0.25331985359687526,chlorambucil
411722,0.2529717175069841,nutlin-3
606248,0.25147070219087325,GDC-0879
154846,0.24869505362588865,ML162
649862,0.24817712324865573,GSK461364
660434,0.24690544150031024,NVP-BSK805
616354,0.24581226769401746,JQ-1
411808,0.2455059337450786,TG-101348
687953,0.24303668935489414,PF-3758309
660306,0.23990574234763554,AZD1480
61674,0.23143719783752567,Merck60
417451,0.2286030233222216,Compound 23 citrate
609781,0.22554958751824233,ML239
411867,0.22510956738343108,olaparib
348991,0.220325680836209,selumetinib
660410,0.2192051205746572,PD318088
660777,0.20529264870091204,AZD7762
660321,0.20371611309102194,BMS-270394
375560,0.20243206221080917,Ki8751
50134,0.19884651387557534,tanespimycin
416775,0.19642606072571106,austocystin D
634814,0.19605771839202055,BRD-K29313308
666541,0.19400462782282596,ABT-199
411738,0.18955549763002533,ABT-737
25344,0.18835586275939942,fluorouracil
660087,0.18743501973921503,AZ-3146
54200,0.18710302863803707,tacedinaline
594399,0.18655993399490964,NSC48300
417417,0.1860997972523715,tipifarnib-P1
660081,0.18261381326540352,GSK4112
