,n_drugs
RNF128 (79589),14
HSPA1A (3303),14
MTAP (4507),13
DLC1 (10395),13
PXDN (7837),13
EMP2 (2013),13
TXNIP (10628),13
BAMBI (25805),13
CLEC11A (6320),13
GJB2 (2706),13
SNCG (6623),13
QPCT (25797),13
FKBP9 (11328),13
SULF2 (55959),13
TSTD1 (100131187),13
SRGN (5552),13
ECM1 (1893),13
LAPTM5 (7805),13
GSTM3 (2947),13
ALDH7A1 (501),13
HSH2D (84941),13
PRAME (23532),13
NDRG1 (10397),13
GNAI1 (2770),13
CRIP2 (1397),13
SGK1 (6446),13
FLNC (2318),13
CD48 (962),13
NXN (64359),13
TMC8 (147138),13
CCDC80 (151887),13
ABCC2 (1244),13
CD68 (968),13
P3H2 (55214),13
PTHLH (5744),13
NOTCH3 (4854),13
AKR1B1 (231),13
PYCARD (29108),13
RTL8C (8933),13
COPZ2 (51226),13
ETS1 (2113),13
F11R (50848),13
ANO1 (55107),13
FSTL1 (11167),13
CAPG (822),13
CTSZ (1522),13
RAB32 (10981),13
ST6GAL1 (6480),12
ACSL5 (51703),12
FERMT3 (83706),12
MUC13 (56667),12
MMP7 (4316),12
LGALS4 (3960),12
SERINC2 (347735),12
PLEK (5341),12
IGF2BP2 (10644),12
TNFRSF14 (8764),12
MRC2 (9902),12
AEBP1 (165),12
SELENOM (140606),12
FADS2 (9415),12
IL2RG (3561),12
PTPN6 (5777),12
BMP7 (655),12
KLF5 (688),12
PPARG (5468),12
CD70 (970),12
ALDH2 (217),12
CMBL (134147),12
KLK5 (25818),12
CTSH (1512),12
APOE (348),12
SPARC (6678),12
S100A1 (6271),12
KRT23 (25984),12
DUSP4 (1846),12
PKP2 (5318),12
MAP2 (4133),12
NRP1 (8829),12
SELENBP1 (8991),12
NPDC1 (56654),12
H2AJ (55766),12
AMIGO2 (347902),12
TFPI2 (7980),12
EHD2 (30846),12
CTSS (1520),12
COL18A1 (80781),12
GSTM2 (2946),12
IL6 (3569),12
CFH (3075),12
PCDH1 (5097),12
LAMB3 (3914),12
PTPRC (5788),12
LYPD6B (130576),12
GNA15 (2769),12
RPS4Y1 (6192),12
SPATS2L (26010),12
MT1E (4493),12
TMEM98 (26022),12
TMEM158 (25907),12
CDCP1 (64866),12
FCGRT (2217),12
CD24 (100133941),12
CALB1 (793),12
TNNT1 (7138),12
COTL1 (23406),12
CHI3L1 (1116),12
SLC7A8 (23428),12
MYO1B (4430),12
GALNT3 (2591),12
JAG2 (3714),12
SLC6A8 (6535),12
CES1 (1066),12
LAD1 (3898),11
SERPINE1 (5054),11
NELL2 (4753),11
F2RL1 (2150),11
FOSB (2354),11
CPVL (54504),11
LXN (56925),11
TRIP6 (7205),11
KCNN4 (3783),11
RAB34 (83871),11
TP63 (8626),11
TSPAN15 (23555),11
APOBEC3B (9582),11
TMPRSS4 (56649),11
TMEM54 (113452),11
TCF4 (6925),11
AIF1L (83543),11
TMT1A (25840),11
PYGL (5836),11
APBB1IP (54518),11
SLC16A3 (9123),11
GATA2 (2624),11
CPE (1363),11
PSCA (8000),11
ZSCAN18 (65982),11
EEF1A2 (1917),11
LHFPL6 (10186),11
IFITM3 (10410),11
SNCA (6622),11
EPN3 (55040),11
TUSC3 (7991),11
RNASE1 (6035),11
CCL20 (6364),11
KIRREL1 (55243),11
ATP2A3 (489),11
LRATD2 (157638),11
TSPAN7 (7102),11
EPDR1 (54749),11
GYPC (2995),11
SCG5 (6447),11
HLA-DMB (3109),11
CKMT1B (1159),11
DDR1 (780),11
APLP1 (333),11
KRT8 (3856),11
AHNAK (79026),11
ENAH (55740),11
MYL9 (10398),11
CHN1 (1123),11
PTGFRN (5738),11
SERPINH1 (871),11
EFNA1 (1942),11
SCRN1 (9805),11
LAPTM4B (55353),11
CDH11 (1009),11
IFITM2 (10581),11
FGFR2 (2263),11
SMARCA1 (6594),11
SERPINE2 (5270),11
LAMA4 (3910),11
CD52 (1043),11
NRCAM (4897),11
CLDN11 (5010),11
C19orf33 (64073),10
MFAP5 (8076),10
CTHRC1 (115908),10
NBL1 (4681),10
POU2AF1 (5450),10
IRF4 (3662),10
COCH (1690),10
HPGD (3248),10
TFF1 (7031),10
DDC (1644),10
GLB1L2 (89944),10
VAMP5 (10791),10
EFEMP1 (2202),10
CDKN2A (1029),10
ALDH1A1 (216),10
CEP15 (57415),10
PHGDH (26227),10
MSC (9242),10
GTSF1 (121355),10
MAGEA4 (4103),10
SLC43A3 (29015),10
OLFML3 (56944),10
IGFBP7 (3490),10
BIRC3 (330),10
FAM83A (84985),10
SOX9 (6662),10
EMP3 (2014),10
HMGA2 (8091),10
TNFRSF11B (4982),10
COL1A1 (1277),10
GREM1 (26585),10
TMEM132A (54972),10
ANPEP (290),10
ITGBL1 (9358),10
KRT17 (3872),10
VAMP8 (8673),10
CCL5 (6352),10
WNT5A (7474),10
CALD1 (800),10
APOL1 (8542),10
LAMA3 (3909),10
THBS2 (7058),10
KLK10 (5655),10
JAG1 (182),10
FOS (2353),10
PKDCC (91461),10
MMP1 (4312),10
CNRIP1 (25927),10
IFI27 (3429),10
DDX3Y (8653),10
PSMB9 (5698),10
TPD52L1 (7164),10
CNN3 (1266),10
PSMB8 (5696),10
TFPI (7035),10
CDA (978),10
MYADM (91663),10
RAMP1 (10267),10
DNAJA4 (55466),10
CSF1 (1435),10
VEGFC (7424),10
PPL (5493),10
DHRS3 (9249),10
SERPINA1 (5265),10
NEFL (4747),10
IRF6 (3664),10
CRIM1 (51232),10
MUC1 (4582),10
IRF8 (3394),10
FAM20C (56975),10
FBXO17 (115290),10
FHL1 (2273),10
TUBB3 (10381),10
LARP6 (55323),10
GSDME (1687),10
MDK (4192),9
C6orf132 (647024),9
PRSS8 (5652),9
ESRP2 (80004),9
CLDN4 (1364),9
ITGB6 (3694),9
APOC1 (341),9
DAPK1 (1612),9
CA12 (771),9
RHOH (399),9
C15orf48 (84419),9
CPA4 (51200),9
MZB1 (51237),9
DDR2 (4921),9
VAV1 (7409),9
PMP22 (5376),9
GRB7 (2886),9
THBD (7056),9
C1S (716),9
PRTFDC1 (56952),9
IL1A (3552),9
CCND2 (894),9
EVI2A (2123),9
IL32 (9235),9
ID2 (3398),9
FLI1 (2313),9
TMEM30B (161291),9
CREB3L1 (90993),9
ICAM2 (3384),9
TPBG (7162),9
SULF1 (23213),9
MAGEA1 (4100),9
SASH3 (54440),9
GRHL2 (79977),9
RBP1 (5947),9
BASP1 (10409),9
HOXC10 (3226),9
SCNN1A (6337),9
CD79B (974),9
H1-0 (3005),9
LAT2 (7462),9
MACROH2A2 (55506),9
COL4A5 (1287),9
ECHDC2 (55268),9
S100B (6285),9
ITGB3 (3690),9
KDM5D (8284),9
SLC1A3 (6507),9
TAGLN (6876),9
KRT5 (3852),9
ANXA6 (309),9
OCIAD2 (132299),9
WLS (79971),9
PDZK1IP1 (10158),9
STOM (2040),9
BCAT1 (586),9
ID1 (3397),9
IL18 (3606),9
GCNT3 (9245),9
LGALS3BP (3959),9
ST14 (6768),9
F2R (2149),9
EPS8L2 (64787),9
ARHGEF6 (9459),9
FCRLA (84824),9
EREG (2069),9
UNC13D (201294),9
TBX3 (6926),9
FOLR1 (2348),9
KRT4 (3851),9
LLGL2 (3993),9
DSG2 (1829),8
TNC (3371),8
LGALS9 (3965),8
TMEM156 (80008),8
IL13RA2 (3598),8
POPDC3 (64208),8
KRT16 (3868),8
MALL (7851),8
GLUL (2752),8
LDOC1 (23641),8
DSP (1832),8
CDH2 (1000),8
PTPRF (5792),8
HEG1 (57493),8
SPP1 (6696),8
DPYSL3 (1809),8
EHF (26298),8
SAA1 (6288),8
PKP3 (11187),8
CYBA (1535),8
PLAUR (5329),8
MIA (8190),8
TMEM45B (120224),8
GPSM3 (63940),8
EMB (133418),8
TRIM22 (10346),8
TPM2 (7169),8
LSP1 (4046),8
KRT7 (3855),8
LY6E (4061),8
ITGA5 (3678),8
NR2F1 (7025),8
GATA3 (2625),8
STRA6 (64220),8
CD9 (928),8
KCNMA1 (3778),8
PLAC8 (51316),8
FXYD6 (53826),8
TCL1A (8115),8
SPINT2 (10653),8
MXRA7 (439921),8
LEF1 (51176),8
HENMT1 (113802),8
ITM2A (9452),8
KRT14 (3861),8
UCP2 (7351),8
ITGA2 (3673),8
SEPTIN5 (5413),8
SERPINB2 (5055),8
SLC40A1 (30061),8
TES (26136),8
EGR1 (1958),8
FSCN1 (6624),8
STMN3 (50861),8
HLA-F (3134),8
CHMP4C (92421),8
ICA1 (3382),8
CKMT1A (548596),8
TM4SF18 (116441),8
AP1M2 (10053),8
PLBD1 (79887),8
PLAAT4 (5920),8
ADAP1 (11033),8
SMIM22 (440335),8
TESC (54997),8
LOXL2 (4017),8
VIM (7431),8
ZNF677 (342926),8
PODXL2 (50512),8
SPOCK1 (6695),8
G0S2 (50486),8
CXCL16 (58191),8
LY6K (54742),8
CBS (875),8
STC1 (6781),8
RPL39L (116832),8
TNFSF10 (8743),8
HKDC1 (80201),8
ANXA3 (306),8
CD82 (3732),8
MFGE8 (4240),8
SERPINB1 (1992),8
AUTS2 (26053),8
SFRP1 (6422),8
RAC2 (5880),8
TIMP3 (7078),8
NTS (4922),8
CADM1 (23705),8
AKAP12 (9590),8
KIF1A (547),8
IFI44L (10964),8
CXCL8 (3576),8
TGFA (7039),8
RAB17 (64284),8
CPT1C (126129),8
COL7A1 (1294),8
PDLIM4 (8572),8
ALPP (250),8
CST6 (1474),8
CXCL2 (2920),8
SIRPA (140885),8
TSPAN13 (27075),8
KRT81 (3887),8
COL9A3 (1299),7
SCG2 (7857),7
FBLIM1 (54751),7
GLIPR1 (11010),7
MICAL2 (9645),7
CP (1356),7
MEST (4232),7
LGALS1 (3956),7
COL6A1 (1291),7
MOXD1 (26002),7
ZEB2 (9839),7
B3GNT3 (10331),7
PLTP (5360),7
LSR (51599),7
RFTN1 (23180),7
NLRP2 (55655),7
FERMT2 (10979),7
FAT1 (2195),7
DOCK2 (1794),7
SNAI2 (6591),7
BCHE (590),7
TNFAIP2 (7127),7
UPK1B (7348),7
VSIR (64115),7
XAGE1A (653220),7
IQANK1 (642574),7
DKK3 (27122),7
ALOX5AP (241),7
IFI16 (3428),7
ADD2 (119),7
INHBA (3624),7
ARL4C (10123),7
DPP4 (1803),7
AGR2 (10551),7
IFI44 (10561),7
